id,text,timestamp,source,symbols,company_names,url,verified
1.02E+18,ValuEngine Downgrades Public Service Enterprise Group $PEG to Hold https://t.co/upaUxBenBj,Thu Jul 12 14:23:49 +0000 2018,MareaInformativ,PEG,Public Service Enterprise Group Incorporated,http://www.mareainformativa.com/?p=433490,FALSE
1.02E+18,Office Depot Inc $ODP Receives $4.33 Average Price Target from Brokerages https://t.co/t8jeRjjwDk,Thu Jul 12 14:23:51 +0000 2018,MareaInformativ,ODP,Office Depot,http://www.mareainformativa.com/?p=433471,FALSE
1.02E+18,Barclays Initiates Coverage on NextEra Energy $NEE https://t.co/bs2lTcyqvu,Thu Jul 12 14:23:52 +0000 2018,MareaInformativ,NEE,NextEra Energy,http://www.mareainformativa.com/?p=433463,FALSE
1.02E+18,This is what analysts have to say about Ross Stores Inc. $ROST after last week. https://t.co/iIpd6BfYyh,Thu Jul 12 14:24:10 +0000 2018,reurope_stock,ROST,Ross Stores,https://reurope.com/2018/07/12/this-is-what-analysts-have-to-say-about-ross-stores-inc-nasdaqrost-after-last-week/,FALSE
1.02E+18,hursday's Top Analyst Upgrades and Downgrades PART 1 $ABBV $AMZN $APC $APA $BKH $AVGO $CA $CMG $COP $DVN $GDS $GE… https://t.co/IvpYgtjwVT,Thu Jul 12 14:24:22 +0000 2018,247WallSt,HUM,Humana Inc.,https://twitter.com/i/web/status/1017414367137038337,FALSE
1.02E+18,RT @LiveSquawk: $VIAB S&amp;P: Viacom Revised To ‘BBB-/Negative’ From ‘BBB-/Watch Neg’,Thu Jul 12 14:24:32 +0000 2018,AlertTrade,VIAB,Viacom,,FALSE
1.02E+18,Are Analysts Bullish about Ross Stores Inc. $ROST after last week? - https://t.co/CvzhHCYESQ,Thu Jul 12 14:24:32 +0000 2018,bibeypost_stock,ROST,Ross Stores,https://www.bibeypost.com/are-analysts-bullish-about-ross-stores-inc-nasdaqrost-after-last-week/,FALSE
1.02E+18,Centene Corporation $CNC Can't Burn Your Long Portfolio. Just Reaches 52-Week High https://t.co/hJfR0hdpe1,Thu Jul 12 14:26:32 +0000 2018,The_CasualSmart,CNC,Centene Corporation,https://thecasualsmart.com/2018/07/12/centene-corporation-cnc-cant-burn-your-long-portfolio-just-reaches-52-week-high/,FALSE
1.02E+18,$1.89 EPS Expected for Rockwell Collins Inc. $COL; Te Connectivity LTD $TEL's Sentiment Is 0.82 https://t.co/qCMlKAlpwb,Thu Jul 12 14:27:04 +0000 2018,The_CasualSmart,COL,Rockwell Collins,https://cardinalweekly.com/1-89-eps-expected-for-rockwell-collins-inc-col-te-connectivity-ltd-tels-sentiment-is-0-82/,FALSE
1.02E+18,Could Centene Corporation $CNC Skyrocket Even More? The Stock Just Made 52-Week High - https://t.co/mNRqHtvzJH,Thu Jul 12 14:27:30 +0000 2018,whatsonthorold2,CNC,Centene Corporation,https://www.whatsonthorold.com/2018/07/12/could-centene-corporation-cnc-skyrocket-even-more-the-stock-just-made-52-week-high/,FALSE
